id,product_type,id_sex
f67f343b8b73cafc839fb4d34b493f95,Product_B,M
d6882330926a28af19cac79150120d66,Product_B,M
c1d3074325b3c56d631128d308ac6580,Product_A,M
a01c23936ad310685feb89d3fae4b243,Product_A,F
a59365a897e5f83708171523681addf6,Product_A,M
91d8d9af13f4da4bcf8bc659a36808d6,Product_A,F
91d8d9af13f4da4bcf8bc659a36808d6,Product_A,F
ec0fedbc91e3d15777f6e929bfeeb96f,Product_A,F
7a4eae644c521bbc13075eca495133c0,Product_B,M
7a4eae644c521bbc13075eca495133c0,Product_B,M
9ffb7f48ed459a8080e76e8a69205548,Product_B,F
5ca9db369b3c395171a3c85f99b00ad4,Product_B,M
ef649b88675876c9c4596cdea800ab30,Product_B,F
c06e7033821f48dc5a82cc402cdfb861,Product_B,M
c06e7033821f48dc5a82cc402cdfb861,Product_B,M
88b84b5f86cf077096c91485ff575e1b,Product_B,M
ce5311f3129c1fae19cac79150120d66,Product_B,F
0f33fd3ec7d91e29144454dec148a545,Product_B,M
c5c3f82e4fdc6a4478c9e36d2dacec2f,Product_B,M
691b3348f0c970abf0086f405e3e0c3a,Product_B,F
1e8411b6b1c29fe817376adc6284f120,Product_B,F
26c276c30ce6b11a1f684b5485ef25df,Product_B,F
50efae49837be86fb2db04dab16d5ed4,Product_A,F
99d30a8f8a4bbe6735035b3b264bc3d8,Product_A,M
7a4740ca952d7f5c977e027c9a325293,Product_A,F
26c276c30ce6b11a1f684b5485ef25df,Product_B,F
3aefeeafb7deb4875f7c3e48048787b6,Product_B,M
f7db201cf90dd42a39479c01889267be,Product_B,M
056c9e418502730ee7d4d74dd8fddecf,Product_B,F
fb70a713dfd8898264d4e00d31b08e5f,Product_B,M
75ab82f8e46b9b5a17c40aa06987dd65,Product_B,M
75ab82f8e46b9b5a17c40aa06987dd65,Product_B,M
0d9c6595c37118150c55075bd4c36118,Product_B,M
e5948777941168bbf8c80851615662ec,Product_B,M
26096ccb930a3597ec309989497e8d83,Product_C,F
c2412c63065c2c77566e17f5945fbd3f,Product_A,M
3765c36855afd5e2c59d5736b03ee80d,Product_B,M
276597bd8016b60d4d8f07b1c101f4c9,Product_B,F
5ec42f404114317414c3f16baf12efd4,Product_B,M
629a64469a7c81fbfd25a5695af8c033,Product_A,M
962db54718dfcd4aefa25dc5c6b6917a,Product_A,M
e47fc678289fb72d1d0f3733c182c734,Product_A,F
ae0da2fc60a99b4ef228dfa3d8ae85fe,Product_A,F
344e45fc4353e5ebcf07f94b3335661a,Product_A,F
344e45fc4353e5ebcf07f94b3335661a,Product_A,F
20c0fbc8e7dc110fa69c7d13b3249656,Product_A,M
f1e4647b25d4bd361dc05f917acdc8fe,Product_A,M
94f14ce76e40b705de4290aa4ab6e3b5,Product_A,F
163f8d00a302cd345288c8fe733ae398,Product_A,M
dc6762e2053aa60a1a6305dd24bb1ea1,Product_A,F
098cfb4765ae9c71d74b8c70403390ba,Product_B,F
2d32e8e67af8bee04b0f359d28e2095f,Product_B,M
338cc8667b9a8e91c34f104fafb77713,Product_A,M
4eb36c8c7c9cafdcaef1797ed3daab92,Product_A,M
f1e4647b25d4bd361dc05f917acdc8fe,Product_A,M
f2a2d414a944738fccda5354c2e4a7b7,Product_B,M
d9d1f6da94b4c0c81840028edbc9ea27,Product_B,M
43d5f642c47da5ff5e9e8e6dc9398b46,Product_B,F
a7c8c692186e4d70d141cf824f86593c,Product_B,M
6dfb701e36494bbf4b9732854335b89b,Product_B,M
b73a3ece57710435ef3f198472a4e4ee,Product_B,F
9f411f707bb43e4baa7e3fdca517e86a,Product_C,F
a4fafcf284cee250728aec9b66e58892,Product_C,M
fc2f09b25a5e4e243c49e3aebe6014f0,Product_B,M
12a56476708f1dd5a69af2b874e17f88,Product_B,F
12a56476708f1dd5a69af2b874e17f88,Product_B,F
d1c24cdabe20afc718f0825037424e51,Product_B,F
6e305ef9427b55c623cdb16ac7b190bf,Product_A,F
d62a2e86c413f1fe0da0589c5cae1201,Product_A,F
99bfd3b08c5a85656fb67b8d2032096f,Product_B,F
506c635d7e53f51c5ef0f8fb5dcfe43c,Product_B,M
52fd74b81af724a188ea251c3c8efac7,Product_A,F
1dde023cbf37f82c93b7fbdf5ca9d49a,Product_A,F
1064a60ff37737760807dbba78b315fc,Product_A,F
585553e1007061cf48e296a3a047f340,Product_A,F
a000a2aeaeba03006c566ae79a50720e,Product_A,M
b8aa756981ede70a97ae58d161973e5e,Product_B,F
1552dcfdcb15d8a513c692c3c42b653b,Product_B,M
00ccb8dc05be748d9a9af220be29505d,Product_B,F
ae8cf048ebee22f33d29cace536d1ec7,Product_B,M
bfdd4849924dc7ce2a7bd92baa9b08ca,Product_B,F
eb2b3ae661b272f00067ee3264b6456d,Product_B,M
0ac64d029dfb7be5bdda71d47b848be5,Product_B,M
f7f4c310e14b28258cdbf86c79fe0e72,Product_B,F
f7f4c310e14b28258cdbf86c79fe0e72,Product_B,F
f7f42d27008daf35092f213722ab9f4f,Product_B,M
817ed2efa4175ecb5ce43ba7c0f4877a,Product_A,M
4eb36c8c7c9cafdcaef1797ed3daab92,Product_B,M
a5f0e72986aa9cd0fbc417b4b2b3d3bf,Product_C,M
c0063c372ae72f64805ddebe962107ca,Product_C,F
d4a3b7b395cfac402bb0a9452230a810,Product_B,F
23f443c471c5e774598cf87c85b874d9,Product_B,F
23f443c471c5e774598cf87c85b874d9,Product_B,F
23f443c471c5e774598cf87c85b874d9,Product_B,F
23f443c471c5e774598cf87c85b874d9,Product_B,F
23f443c471c5e774598cf87c85b874d9,Product_B,F
cf5af298f9c029f5e3986b5b59a29bc5,Product_B,M
61bcf37ad57652ff05129e1d996668a1,Product_B,F
1a5a290e6958e3e5af1a3797cf5923b4,Product_B,F
b8aa756981ede70a97ae58d161973e5e,Product_B,F
b9d24ac0b38034f2604bd8c03538c883,Product_B,F
e4c02ee266521741e166f776845c3503,Product_B,F
880b6fbf2bf1984496b34349a246afab,Product_B,F
bfdd4849924dc7ce2a7bd92baa9b08ca,Product_B,F
0ac64d029dfb7be5bdda71d47b848be5,Product_B,M
0ac64d029dfb7be5bdda71d47b848be5,Product_B,M
b8aa756981ede70a97ae58d161973e5e,Product_B,F
1eecc45b048e8a155d462b43c5d558ea,Product_A,M
ccfc56f0c0d2c7ef5e7ecbcd426ef079,Product_A,F
21a615620713be3844203f4bf9e68e7c,Product_A,M
c417cdb471f6d589d422501d94a93159,Product_B,M
fa82df4956c7f54103413dfd6ea4a70c,Product_B,F
e8650b931e7092705e26310222378a4a,Product_B,F
3cd97dfbd7cca069874550af3666ff4a,Product_A,M
49a65bfbd250656f2d9f924c1ea70ded,Product_B,F
82b7f235f6fc02c27588097950790b5a,Product_B,M
a2cc83a24ccd22702883b90dc315d871,Product_B,F
e1cbcc947ef494a3a747f3410f14f890,Product_A,M
f28de36bd81f2e3ec943bfbe8ec98fc2,Product_A,F
0cf55e28a2dc9c19067b8c3c286606f2,Product_A,F
21a615620713be3844203f4bf9e68e7c,Product_A,M
21a615620713be3844203f4bf9e68e7c,Product_A,M
351f0d19284b33e6e8e3e90fa744b9f9,Product_B,M
569c20f8e20d50bdba8777c59210c2de,Product_B,F
21a615620713be3844203f4bf9e68e7c,Product_B,M
c88d29aaae8fe2989a53d0b5e6f03240,Product_C,M
d5d2eed8a818a29bb7874584fbbc8270,Product_C,F
d5d2eed8a818a29bb7874584fbbc8270,Product_C,F
40dc1f5b66875b519bc00bd6beb932df,Product_C,M
f92a269f8dc775c3f006002d4d436e6f,Product_C,M
46a4997f3ccbb85e668150e76857ae78,Product_C,M
0753471a236737765aa0b15652aa50eb,Product_C,F
b1efdd258c7f8334588b47b23c0e1c27,Product_C,M
bd3f9e5b228392e393229d22f5005aa7,Product_C,M
98cbdec1f459d62a489d54c688908670,Product_A,M
e020c9eb2ab0718d2a7bd92baa9b08ca,Product_A,F
807040c8f7f28976187afd518b50ee29,Product_C,M
c465f811ec6831a6f9d0a5fe27ba662e,Product_B,F
93d099464c0361b815b030f59dbaf16a,Product_C,F
ca489a020c0266967a98c68c550c984e,Product_C,F
62afd9a6243a2b1cdaa36dd2778cdd20,Product_A,F
64cbbc51d6a914f18c76d0cab96c420d,Product_A,M
d1425081efa9c58880b20b349705f006,Product_A,M
dc048e98d9962c8cdb4344cfc1b5c633,Product_A,F
373ec09656aa9a93a3fdadcb70cb6306,Product_A,F
e1cbcc947ef494a3a747f3410f14f890,Product_A,M
22504b6e45a24e4bb2b360532b95a252,Product_A,M
93a0ee2a2910aec51073321b13f58126,Product_A,F
f4cdd224bf83ba3e54867cb13804e3e4,Product_A,M
f2a14806fa4c27556320900ee7d32da3,Product_B,M
0c3f42b8ef770fac43aa6018274a14a7,Product_A,F
f2a14806fa4c27556320900ee7d32da3,Product_B,M
b41c8a459074defdbfb75630da1bfa75,Product_C,F
453e68e3c8eec5e9b9631bbe28baaea5,Product_B,F
5b64f165b8104093fdbca1117ffa8a03,Product_A,F
326f57bc41f3c3770280c7c4c3a2af67,Product_A,F
07d652a715ad292479fd92256f28ebe1,Product_B,F
059a0c93354ba930e59ad770698a964a,Product_A,F
c9eb5152477b88dadb63dee032014764,Product_A,M
6b70282f77848b0d57ce1318d97af52b,Product_A,F
5db1cc7657b4486773b21f05a5dd4e68,Product_A,M
d483b6b249c4bd9484679718b4c0888c,Product_B,F
22adb8911d5ed8ac91855522c6aa8f91,Product_C,M
c50054c34bd0069572bf5b82383cb4b0,Product_C,M
c50054c34bd0069572bf5b82383cb4b0,Product_C,M
5d54e2648070598839a3bffe662d80e2,Product_C,F
845b89593181555a4bfdc397a02e90fa,Product_C,F
9b71cf40613f9c3af0e5c3efa4c6ea23,Product_A,M
65033656e82093057d4c90ab08f43ad1,Product_B,F
e1cbcc947ef494a3a747f3410f14f890,Product_A,M
11155f526adc35361bd2af67272c14a3,Product_A,M
390e1a85d3fa3edc977044bc65b83b5d,Product_A,M
bae4a5439ef94a08a12c840881b68af9,Product_A,M
63d735a03a49ebc7f76c181b89b1d386,Product_C,F
6688aca4105a24c7cd77b59ed13c2a89,Product_C,M
807040c8f7f28976187afd518b50ee29,Product_C,M
807040c8f7f28976187afd518b50ee29,Product_C,M
5c6eae10d1bebb55ce81b9c3a50dfeed,Product_A,M
ae0da2fc60a99b4ef228dfa3d8ae85fe,Product_A,F
f37c55dde8e9baab48ce8fcd43d78305,Product_A,F
356c9567c7d8fae9eb1c923ac1a9613c,Product_A,F
d09228bd6caa452c1e377a3be4182a00,Product_A,M
d0ae518bf60e51c797f0ba9106ed6f1e,Product_A,F
59701c878843df355704ba945c758878,Product_A,M
053932cf6ff561136b09e1d0c5fade72,Product_A,M
55099f3137e8258e1e5dc6048064b1e4,Product_A,M
33c41b107c3f99a358aa6db20d4da1e7,Product_A,F
55001c50333c6b22e762b88bdcd62082,Product_C,F
178924d20d8ab25c87c03f0388752a36,Product_B,F
178924d20d8ab25c87c03f0388752a36,Product_B,F
8b8e2d6ab5ae63c09f8095f690bd2a99,Product_B,F
aaaa53288e19f16511120791f05ea995,Product_A,F
ca70279141216e570a956729d9afbda4,Product_A,F
a6bc234d956b2d7ececa6c1a780bcd16,Product_A,M
d3471225f45f8b973b57483914e7cdc4,Product_A,M
53c38f3feddb7faf5391ea4518c5d16a,Product_B,F
9cfd7481dbf7108aa339c6ad7900fa77,Product_A,F
319c662c70af403b71da9d755a8c46b5,Product_A,M
60de5792d99821cdde6210e8febb20d7,Product_A,F
41108565a074bc46d78ca443cc5f8f5a,Product_A,M
143c9255974bff78fa5042ac8b779547,Product_A,M
deed8852d4e1c9fd869ec0459887304e,Product_A,F
56bd0df68c56d1fbebd99ae0aadd5ad3,Product_B,F
3765d61777bee2844b520d4cf37d7c59,Product_B,F
0197cf0076d64a9ff1b5620ca2e174d6,Product_A,F
8d69916ab0de7ffd13075eca495133c0,Product_A,F
278172f8f7fb93356859787b11126c3f,Product_A,F
49c7829a0e040a870ed78adf5dfab8df,Product_A,M
fd9984bb9baa5582246a258ecd9cf834,Product_C,M
bcf256fe61ee42890ebd530dacc80bd7,Product_A,M
cce08aa74a45d3d51ab7615b9aa75c7a,Product_A,F
df28516df22ba0046244b4f1e50804f1,Product_B,F
4ad0d5bc3ee39c12a722007762093aab,Product_B,M
8166f3220f7c4d15d2fd1e476a739aae,Product_B,M
515e36d1d4edd386d587be016d6ed3f5,Product_A,M
a07b3a2b0897685e51ed01ff749030e1,Product_A,M
a07b3a2b0897685e51ed01ff749030e1,Product_A,M
61f8ca68a1e129d5ae4867771ab4c074,Product_A,F
8fdbf08aba21822871ab48495327df4b,Product_A,F
bb279deacea4ee93c0f29a776bb1137c,Product_C,M
72fa69be5033cc7996b3be52972ff77e,Product_A,F
3aceadbcdf14209e3028e97df7cc6f96,Product_A,M
775f79efaf1345dee3ebfa7fba47c40a,Product_A,F
61d53978cc44c1dbdb17413c2087dbf9,Product_C,F
fd75ce4ccf36ee581d829c2ab4b5ffd1,Product_C,F
f634a6e9486ee960e75034fc85e34794,Product_C,F
413fe3432fae5ac85006bc677ecdd932,Product_A,M
f1287f31359653d66ef835aadf7e6e74,Product_A,M
f1287f31359653d66ef835aadf7e6e74,Product_A,M
f1287f31359653d66ef835aadf7e6e74,Product_A,M
0b642b64f44cd980fd29a8d4af991d5d,Product_A,F
196c5c5d328714878bd6495828dcbf8e,Product_A,F
9cd33e59dd26f37a4408d4564a51559b,Product_C,M
0bc5aaac02bbf58e59226237ab2c4366,Product_A,F
ef377b94ab5c15e2f4efaecf9941c8c8,Product_B,F
c506eb9991bda0137b5f6f3f70bdbde1,Product_B,F
2389f96d9f57864ad49e749f34d44a9f,Product_C,M
ef377b94ab5c15e2f4efaecf9941c8c8,Product_B,F
3f1dc2895002aa6a2068602e0097ad76,Product_C,M
5181d9aa800261a41811d58793146219,Product_C,M
7e7416c9f802694f7d5bb7185ae65b85,Product_C,F
9e5243dc57cc2a0c0f976f956d8f9544,Product_C,M
140bbd2abc301acbff8851e1cac0aeaa,Product_A,F
b1f3e68d87fa6a149e8d55439298ba1e,Product_A,M
00c15fca94aa2e2d8846fed721e2ce31,Product_A,M
25179502757a77454ab1739c3564843e,Product_A,M
f27e75501e928657a9b6b5fdd28817f1,Product_A,M
f1287f31359653d66ef835aadf7e6e74,Product_A,M
bd1c6083ff37c5d22c631374b3d0b0d2,Product_A,M
f1287f31359653d66ef835aadf7e6e74,Product_A,M
59849378c9cf4a0c5bc9dba74e36c845,Product_A,F
d054fb5af9344798c0b197a8fc844f7e,Product_C,M
3e71bd9db4b86a9995f47653da8c22c2,Product_C,M
a4fafcf284cee250728aec9b66e58892,Product_C,M
d789ccaba7267a254583610beaf4abd2,Product_C,M
3f4cb829703c494a0a9b627e0489faec,Product_C,F
1dbe2408716ed7989caf83987ab72a43,Product_B,M
9cfd7481dbf7108aa339c6ad7900fa77,Product_B,F
1576f423c681ce980a090689260bbfcf,Product_B,M
6ce66dfb5ff112eb6a061b729714438a,Product_A,F
af4d6d87e117bd27a25f2e9eb32276e7,Product_B,M
6d531eb0f2574104a02e902bea00708e,Product_A,M
fdecd341bcdb125a7e5c61d9c611ead8,Product_A,F
dbccca6d0658a0db389f2d24fb8c428a,Product_A,M
1c535765745218e0c5fd4de4a9bc2be8,Product_A,M
a33ab2737d04b8d8e9ec21ddeffa560d,Product_A,F
f98c0845916882fed75e08af886752f6,Product_A,F
a33ab2737d04b8d8e9ec21ddeffa560d,Product_A,F
97dcd61c7bc2e9b5cf62a0142ab45b66,Product_A,M
7de6e66897bbb877a1dbc37c0a9f8fe2,Product_A,F
68596751eb197aabc91e85d95167a010,Product_A,F
d40b76b1f83a8ed7b4167703cdb7beaa,Product_A,F
679be087729abc2962d2db1467269da2,Product_A,M
f4decc725f0e7911698fa4c23c7e5142,Product_C,F
c2ff8de82b74b17c2e3fef4f4a993411,Product_C,F
c90329217920e8a4498aa9bff63ee4d2,Product_C,F
68596751eb197aabc91e85d95167a010,Product_B,F
a6c9f1f5b7b7050c24874331d810c1f0,Product_B,M
a6c9f1f5b7b7050c24874331d810c1f0,Product_B,M
9e5243dc57cc2a0c0f976f956d8f9544,Product_C,M
fd9984bb9baa5582246a258ecd9cf834,Product_C,M
4c8d10bd76c93785233807fa5ccfa62b,Product_C,M
9c5e5956e2e3e8002c44c9caffa48de5,Product_B,M
9d22fe10bed7932061acea6339b658d9,Product_A,F
33b9e3c6122b24c6c1bcc17cf3abcc41,Product_A,M
fad4d729497672ca8d134890975693f8,Product_A,M
c0a5f6db2efea1aa7cde3717f5a2672a,Product_A,M
5ed8a85ee5b7009036b0580ba4858682,Product_B,M
307777e49c1e430ec01b69cb5901f455,Product_A,F
ca5f8917fec06d0fc74b57ac7bd16439,Product_C,F
6fb4da4444e128bb16f8ccfdda187d16,Product_B,F
cf7c8987e6b1d80b4ba69d5bab857d37,Product_C,F
4f41619477997dd25de8aef5380b6bf9,Product_C,F
5797a415d8328ab11dc24aa50540483e,Product_C,F
ce58b91ef8e964f55b06e0a8fc41598a,Product_C,M
3dca2be5a5bbccd14faba4d30d0075ee,Product_C,F
c90329217920e8a4498aa9bff63ee4d2,Product_C,F
cc47b93f2ba4f9e7ce55778da2105169,Product_B,M
4d161d5238a6c4ee288c41e93b7e4134,Product_A,M
e147a3c0502d3bf262cfcc7adde5173b,Product_A,M
50fd7e140e8fad0d049bb15552176907,Product_A,F
373d6392f5b0208df79d60f9d5c4f884,Product_A,M
9a952ee0748e2949662dee312cc06f28,Product_A,F
f763f543ad4b20e6b401ee0e94a21657,Product_B,F
81410d69df0859c9669baf3ef3362739,Product_B,F
d4d39355587f6d34ff11595a1eaedd69,Product_B,F
a9d38124d64e6b4fffb52d1380582bce,Product_B,M
6bafebd703cfa25199ecfc95355a5add,Product_B,M
acc6dd51074eae2cd00a8d79fb2d1f85,Product_B,M
4fd4297637d07fd60280c7c4c3a2af67,Product_B,M
df4ea1ee5d329e22d47061ecb275740c,Product_B,F
2db6430def998ea61d3750252bf1d9cd,Product_B,M
d1e6130569b97db86b71aebc176473e8,Product_B,M
ed3c4c26be7d92c3d323e4b260a5cf1d,Product_B,F
70785e5c67c0adb9a23299ac187f0c01,Product_B,M
c55c77a00473c836aa96251517a7b404,Product_A,F
757beedbb534c483237e0d3832e64958,Product_A,F
